"Number","Title","State","Milestone","Labels","Assignees","Created","Updated","URL","Body"
"41","Support ""social authentication"" via Keycloak","OPEN","(none)","enhancement, discussion-needed, reviewed/keep","","2018-02-23","2026-03-27","https://github.com/OpenConceptLab/ocl_issues/issues/41","Allow sign in using populare social media accounts"
"202","Add to bulk importer the ability to delete all references from a collection","OPEN","(none)","","paynejd","2020-03-26","2024-02-27","https://github.com/OpenConceptLab/ocl_issues/issues/202","This single request deletes all references in a collection: ``` DELETE /orgs/KenyaMOH/collections/KenyaEMR/references/ {     ""references"": [""*""] } ```  Bulk importer could do this: ``` {""__method"": ""DELETE"", ""owner"": ""KenyaMOH"", ""owner_type"": ""Organization"", ""collection"": ""KenyaEMR"", ""references"": [""*""]} ```"
"638","Allow source/collection admins to control visibility of repo versions separate from tags","OPEN","(none)","discussion-needed","","2021-03-12","2024-03-15","https://github.com/OpenConceptLab/ocl_issues/issues/638","Right now, the visibility of a source/collection version is tied somewhat to its `released` and `retired` flags. This is especially true when using the `latest` keyword (which evaluates to ""latest released version"") or when evaluating a version-less reference, like `/orgs/CIEL/sources/CIEL/concepts/1234/`. We want administrators to have complete control over how OCL resolves these pointers, which means letting them set repo version visibility / behavior separately from flags.  In addition, we want to support the rest of the ""flags"" supported by the FHIR `status` field for CodeSystem, ValueSet, ConceptMap (draft | active | retired | unknown). Here's the publication status ValueSet: https://www.hl7.org/fhir/valueset-publication-status.html"
"757","Implement optional country code support for locales","OPEN","(none)","openmrs, api2","paynejd","2021-05-14","2024-03-12","https://github.com/OpenConceptLab/ocl_issues/issues/757","We ran into a validation issue importing the PIH dictionary (#732) where some valid Java locales are unknown to OCL. Java locales should be known to OCL. Here is a list of Java 8 locales...  ```bash $ docker run --rm groovy groovy -e 'println System.getProperty(""java.version"")' 1.8.0_252 $ docker run --rm groovy groovy -e \   'java.text.SimpleDateFormat.availableLocales.each {println ""$it|$it.displayName|$it.displayCountry""}' \   | sort ```  Locale|Display Name|Country -|-|- ar_AE|Arabic (United Arab Emirates)|United Arab Emirates ar_BH|Arabic (Bahrain)|Bahrain ar_DZ|Arabic (Algeria)|Algeria ar_EG|Arabic (Egypt)|Egypt ar_IQ|Arabic (Iraq)|Iraq ar_JO|Arabic (Jordan)|Jordan ar_KW|Arabic (Kuwait)|Kuwait ar_LB|Arabic (Lebanon)|Lebanon ar_LY|Arabic (Libya)|Libya ar_MA|Arabic (Morocco)|Morocco ar_OM|Arabic (Oman)|Oman ar_QA|Arabic (Qatar)|Qatar ar_SA|Arabic (Saudi Arabia)|Saudi Arabia ar_SD|Arabic (Sudan)|Sudan ar_SY|Arabic (Syria)|Syria ar_TN|Arabic (Tunisia)|Tunisia ar_YE|Arabic (Yemen)|Yemen ar|Arabic| be_BY|Belarusian (Belarus)|Belarus be|Belarusian| bg_BG|Bulgarian (Bulgaria)|Bulgaria bg|Bulgarian| ca_ES|Catalan (Spain)|Spain ca|Catalan| cs_CZ|Czech (Czech Republic)|Czech Republic cs|Czech| da_DK|Danish (Denmark)|Denmark da|Danish| de_AT|German (Austria)|Austria de_CH|German (Switzerland)|Switzerland de_DE|German (Germany)|Germany de_GR|German (Greece)|Greece de_LU|German (Luxembourg)|Luxembourg de|German| el_CY|Greek (Cyprus)|Cyprus el_GR|Greek (Greece)|Greece el|Greek| en_AU|English (Australia)|Australia en_CA|English (Canada)|Canada en_GB|English (United Kingdom)|United Kingdom en_IE|English (Ireland)|Ireland en_IN|English (India)|India en_MT|English (Malta)|Malta en_NZ|English (New Zealand)|New Zealand en_PH|English (Philippines)|Philippines en_SG|English (Singapore)|Singapore en_US|English (United States)|United States en_ZA|English (South Africa)|South Africa en|English| es_AR|Spanish (Argentina)|Argentina es_BO|Spanish (Bolivia)|Bolivia es_CL|Spanish (Chile)|Chile es_CO|Spanish (Colombia)|Colombia es_CR|Spanish (Costa Rica)|Costa Rica es_CU|Spanish (Cuba)|Cuba es_DO|Spanish (Dominican Republic)|Dominican Republic es_EC|Spanish (Ecuador)|Ecuador es_ES|Spanish (Spain)|Spain es_GT|Spanish (Guatemala)|Guatemala es_HN|Spanish (Honduras)|Honduras es_MX|Spanish (Mexico)|Mexico es_NI|Spanish (Nicaragua)|Nicaragua es_PA|Spanish (Panama)|Panama es_PE|Spanish (Peru)|Peru es_PR|Spanish (Puerto Rico)|Puerto Rico es_PY|Spanish (Paraguay)|Paraguay es_SV|Spanish (El Salvador)|El Salvador es_US|Spanish (United States)|United States es_UY|Spanish (Uruguay)|Uruguay es_VE|Spanish (Venezuela)|Venezuela es|Spanish| et_EE|Estonian (Estonia)|Estonia et|Estonian| fi_FI|Finnish (Finland)|Finland fi|Finnish| fr_BE|French (Belgium)|Belgium fr_CA|French (Canada)|Canada fr_CH|French (Switzerland)|Switzerland fr_FR|French (France)|France fr_LU|French (Luxembourg)|Luxembourg fr|French| ga_IE|Irish (Ireland)|Ireland ga|Irish| hi_IN|Hindi (India)|India hi|Hindi| hr_HR|Croatian (Croatia)|Croatia hr|Croatian| hu_HU|Hungarian (Hungary)|Hungary hu|Hungarian| in_ID|Indonesian (Indonesia)|Indonesia in|Indonesian| is_IS|Icelandic (Iceland)|Iceland is|Icelandic| it_CH|Italian (Switzerland)|Switzerland it_IT|Italian (Italy)|Italy it|Italian| iw_IL|Hebrew (Israel)|Israel iw|Hebrew| ja_JP_JP_#u-ca-japanese|Japanese (Japan,JP)|Japan ja_JP|Japanese (Japan)|Japan ja|Japanese| ko_KR|Korean (South Korea)|South Korea ko|Korean| lt_LT|Lithuanian (Lithuania)|Lithuania lt|Lithuanian| lv_LV|Latvian (Latvia)|Latvia lv|Latvian| mk_MK|Macedonian (Macedonia)|Macedonia mk|Macedonian| ms_MY|Malay (Malaysia)|Malaysia ms|Malay| mt_MT|Maltese (Malta)|Malta mt|Maltese| nl_BE|Dutch (Belgium)|Belgium nl_NL|Dutch (Netherlands)|Netherlands nl|Dutch| no_NO_NY|Norwegian (Norway,Nynorsk)|Norway no_NO|Norwegian (Norway)|Norway no|Norwegian| pl_PL|Polish (Poland)|Poland pl|Polish| pt_BR|Portuguese (Brazil)|Brazil pt_PT|Portuguese (Portugal)|Portugal pt|Portuguese| ro_RO|Romanian (Romania)|Romania ro|Romanian| ru_RU|Russian (Russia)|Russia ru|Russian| sk_SK|Slovak (Slovakia)|Slovakia sk|Slovak| sl_SI|Slovenian (Slovenia)|Slovenia sl|Slovenian| sq_AL|Albanian (Albania)|Albania sq|Albanian| sr_BA_#Latn|Serbian (Latin,Bosnia and Herzegovina)|Bosnia and Herzegovina sr_BA|Serbian (Bosnia and Herzegovina)|Bosnia and Herzegovina sr_CS|Serbian (Serbia and Montenegro)|Serbia and Montenegro sr_ME_#Latn|Serbian (Latin,Montenegro)|Montenegro sr_ME|Serbian (Montenegro)|Montenegro sr_RS_#Latn|Serbian (Latin,Serbia)|Serbia sr_RS|Serbian (Serbia)|Serbia sr__#Latn|Serbian (Latin)| sr|Serbian| sv_SE|Swedish (Sweden)|Sweden sv|Swedish| th_TH_TH_#u-nu-thai|Thai (Thailand,TH)|Thailand th_TH|Thai (Thailand)|Thailand th|Thai| tr_TR|Turkish (Turkey)|Turkey tr|Turkish| uk_UA|Ukrainian (Ukraine)|Ukraine uk|Ukrainian| vi_VN|Vietnamese (Vietnam)|Vietnam vi|Vietnamese| zh_CN|Chinese (China)|China zh_HK|Chinese (Hong Kong)|Hong Kong zh_SG|Chinese (Singapore)|Singapore zh_TW|Chinese (Taiwan)|Taiwan zh|Chinese|"
"790","Implement access control for exports","OPEN","(none)","enhancement, discussion-needed","snyaggarwal, jamlung-ri","2021-06-03","2024-03-15","https://github.com/OpenConceptLab/ocl_issues/issues/790","Right now, a source or collection is either public or private, and this access control applies to all aspects of that repository. From the perspective of a standards development organization, reference access (searching/browsing) is treated separately from distribution.  How could we allow admins to control reference access to a source/collection separately from distribution access?  For now, we can keep these definitions simple: * Reference - search, browse, viewing details of resources, basic API access (though we should probably put a ceiling to the `limit` parameter) * Distribution - users may download full exports  Open questions: * How do we (and should we) limit mappings and references  @bmamlin FYI"
"828","Automatically generate changelog for OCL primary repos","OPEN","Sprint 17","api2, fhir, reviewed/keep","rkorytkowski, paynejd","2021-07-02","2026-03-24","https://github.com/OpenConceptLab/ocl_issues/issues/828",""
"878","Name_type Standardization","OPEN","(none)","enhancement, affects-ocl-client, api2","paynejd, snyaggarwal","2021-08-04","2023-09-26","https://github.com/OpenConceptLab/ocl_issues/issues/878","Standardize the format of the name_type attribute in OCL.   For example, we are seeing name_type attributes that are ""Fully Specified"" ([link](https://api.qa.openconceptlab.org/orgs/PEPFAR-Test10b/sources/MER/concepts/p1OMag94BGr/?verbose=true)) and name_type attributes that are ""FULLY_SPECIFIED"" ([link](https://api.openconceptlab.org/orgs/OMRSCOVIDSquad/collections/OMRSCOVIDVaccination/concepts/166356/?verbose=true)).   Note that OpenMRS Dictionary Manager will be slightly affected by it, so we should coordinate with that team when we start to implement these changes. ![image.png](https://images.zenhubusercontent.com/5df114a3d094b314eeec671c/c68cc5a5-339b-4d35-8ef6-29b524389514)"
"957","Improve memory management for import tasks","OPEN","(none)","api2, bulk-import, performance","rkorytkowski, snyaggarwal","2021-09-06","2024-01-05","https://github.com/OpenConceptLab/ocl_issues/issues/957","Currently the whole import file is stored in memory and passed around to workers. It uses memory on Redis, but also in all individual workers processing it i.e. main worker and concurrent workers.   Things to consider: 1. Store the file in S3 and pass URI to Redis queue and workers. 2. Make sure workers do not hold the whole file in memory rather read it through a stream. 3. Workers should do a proper cleanup after done processing or delegating the processing. 4. It seems that we would also benefit from putting final results in a file as well instead of keeping them in memory... (keeping partial results in concurrent workers in memory and returning them in memory is fine as long as we keep the batch not too big 1-10k)"
"994","Update bulk import validation script","OPEN","(none)","","paynejd, jamlung-ri","2021-09-24","2022-04-14","https://github.com/OpenConceptLab/ocl_issues/issues/994","* Command-line tool * Matching of resource IDs * Comprehensive validation of fields   * Concept: Core attributes (id, class, datatype, etc), Names, Descriptions, Extras   * Mappings: ID (optional), from/to concepts + Source URLs - needs a ΓÇ£smartΓÇ¥ comparison of source URLs (canonical or relative), map_type, Extras  gist script: https://gist.github.com/bmamlin/458eb611e1ad99f9be4f12858064cc28   Notes from Dev/Architecture calls: * https://docs.google.com/document/d/102y4F9fHlTQyrq0CGm85xHWDTzqJPnon_edXJIWW504/edit#bookmark=id.sbhuygz3ysnb * https://docs.google.com/document/d/157ChmfmYLGLEg_fO4cE7oMqtGpL4PchUkEhNfUUMxdo/edit#bookmark=id.sp42zkouecii * Per Burke: Checksum per resource/per file could shortcut validity testing"
"1143","Ability to transfer ownership of a source or collection","OPEN","(none)","reviewed/keep","snyaggarwal","2021-12-03","2026-03-27","https://github.com/OpenConceptLab/ocl_issues/issues/1143","Not a high priority, but required in both the API and TermBrowser"
"1186","Multi-lingual support in OCL TermBrowser","OPEN","(none)","Epic, V3","snyaggarwal","2022-01-11","2023-11-28","https://github.com/OpenConceptLab/ocl_issues/issues/1186","We want to internationalize the TermBrowser to support multiple languages  Note that these will be implemented in separate tickets:  * UI controls for a user to select which language they are seeing in the TermBrowser * Method for a sysadmin to upload new translations and to manage which translations are available * Creating other translations of the app"
"1194","Changing an ID for an org, source, collection, etc.","OPEN","(none)","enhancement, discussion-needed, api2","paynejd, snyaggarwal, jamlung-ri","2022-01-31","2024-03-12","https://github.com/OpenConceptLab/ocl_issues/issues/1194","Currently, there is no process for replacing an ID for any OCL resource. How would we, for example, change this org ID from IHTSDO (which is outdated) to SNOMED-International? The process likely involves creating a new org and reloading the content, but users of that content would be impacted."
"1286","Retire any APIs/data that use both repo version and resource version","OPEN","(none)","api2, reviewed/keep","snyaggarwal","2022-04-29","2026-03-24","https://github.com/OpenConceptLab/ocl_issues/issues/1286","URIs like these should be invalid across OCL because they are specifying 2 versions that could be contradictory -- we are moving toward preferring the use of repo versions over resource versions: ``` /orgs/MyOrg/sources/MySource/v1/concepts/1984/6745/ /orgs/MyOrg/collections/MyCollection/v1/concepts/1984/6745/ /orgs/MyOrg/collections/MyCollection/v1/expansions/e1/concepts/1984/6745/ ```"
"1291","Expanded Reference adjustment - Multiple resources in a single reference","OPEN","(none)","","snyaggarwal","2022-05-10","2022-05-10","https://github.com/OpenConceptLab/ocl_issues/issues/1291","Want to be able to support multiple enumerated codes/IDs in a single reference ΓÇô currently API accepts this syntax, but it splits them into individual references.  Following up on #1275"
"1318","Highlight concept attributes/associations that were modified in the collection","OPEN","(none)","Design, V3","","2022-06-03","2024-02-07","https://github.com/OpenConceptLab/ocl_issues/issues/1318","DESIGNS NEEDED BEFORE STARTING WORK ON THIS  When viewing concept details in the collection context, modifications made in the collection should be formatted / highlighted to indicate differences. Currently, we only allow modification of the display name and of associations, and we will support more modifications in the future.  See here for an example: https://api.qa.openconceptlab.org/orgs/OpenmrsTest/collections/test1/concepts/163361/106081/"
"1327","Constrain processing of repo versions to be ""consistent"" within an expansion","OPEN","(none)","discussion-needed, api2","","2022-06-21","2024-03-12","https://github.com/OpenConceptLab/ocl_issues/issues/1327","Resolved repo version must be reused while evaluating the expansion to avoid the risk of an equivalent repo reference being evaluated differently while processing. For example, if I have several concept references to CIEL and a new version of CIEL is released while the expansions is being generated, then some of those concepts will point to an old version of CIEL and some to the new version of CIEL - we want to ensure that all of them point to the same repo version that was originally resolved  Processing method: * For each reference...   * Check if reference has already been resolved to a repo version     * If yes, use the ""cached"" repo version     * If no, resolve the reference to a repo version   * Evaluate the reference using the above repo version  NOTE: One ref can result in multiple repo versions (e.g. can include a system and one or more valuesets) "
"1357","Expose hard DELETE of concept/mapping for standard users","OPEN","(none)","api2","","2022-10-04","2024-03-12","https://github.com/OpenConceptLab/ocl_issues/issues/1357","Hard delete of concepts/mappings was implemented for admins only in #564. We want to be careful about how we expose this behavior to users, but we will eventually need to make this available. Let's use this ticket to track the issue.  @snyaggarwal Was hard delete implemented for concept/mapping versions?  ## Concept/mapping -- previously implemented ``` DELETE /orgs/MyOrg/sources/MySource/concepts/:id/?hardDelete=true DELETE /orgs/MyOrg/sources/MySource/mappings/:id/?hardDelete=true ```  ## Concept/mapping versions -- ?? ``` DELETE /orgs/MyOrg/sources/MySource/concepts/:id/:version/?hardDelete=true DELETE /orgs/MyOrg/sources/MySource/mappings/:id/:version/?hardDelete=true ```"
"1396","User should have option not to auto-import Mappings to retired concepts","OPEN","(none)","api2, bulk-import","","2022-10-27","2024-03-12","https://github.com/OpenConceptLab/ocl_issues/issues/1396","(@paynejd and @bmamlin do you agree with this?)  I propose: When a user goes through the ""Add to Collection"" workflow and wants all mapped concepts imported, e.g. as we often do with CIEL concepts, we should have the option (or perhaps this should be the default behavior) to NOT have mappings to retired concepts included.   Right now there's a mismatch: the *Mappings* to retired concepts are auto-imported, but the *retired concepts* themselves are _not_ auto-imported. I think this created for us the situation in https://github.com/OpenConceptLab/ocl_issues/issues/1395 "
"1423","Adopt OCL Code of Conduct (for the development community)","OPEN","(none)","documentation, reviewed/keep","rkorytkowski, paynejd, snyaggarwal, jamlung-ri, paulsonder","2022-11-07","2026-03-27","https://github.com/OpenConceptLab/ocl_issues/issues/1423","Guide to selection: https://opensource.guide/code-of-conduct/#:~:text=A%20code%20of%20conduct%20is,just%20your%20participants%2C%20but%20yourself.  Some examples: - https://www.contributor-covenant.org/ - https://ubuntu.com/community/code-of-conduct - https://wiki.openmrs.org/display/docs/Code+of+Conduct#:~:text=Be%20respectful.,poor%20behavior%20and%20poor%20manners. - https://wiki.openmrs.org/display/docs/Developer+Guide  https://github.com/OpenConceptLab/oclapi2/blob/master/CONTRIBUTING.md  We're actually talking about more than one thing: - **Overall OCL Community Code of Conduct:** This applies to all community members during all types of community interactions (e.g. https://ocl.discourse.group/faq) - **OCL Developer Guide:** includes a Developer code of conduct "
"1431","Implement maintenance page","OPEN","(none)","api2, infra, reviewed/keep","rkorytkowski, paulsonder","2022-11-16","2026-03-24","https://github.com/OpenConceptLab/ocl_issues/issues/1431","We need to be able to bring up a maintenance page for major upgrades or automatically if services are e.g. timing out due to bug or overload.  This should be available for api or web.  The maintenance page would ideally be served from CDN to survive traffic hikes.  We need to check if ALB on AWS is capable of providing such functionality or come up with a custom approach. It would be good to provide some basic alternative if running OCL with docker-compose in a form of e.g. nginx gateway, but can be addressed in a separate issue if it is more work."
"1493","Add the new source summary endpoints to OCL Docs","OPEN","(none)","documentation, infra, reviewed/keep","paynejd, snyaggarwal","2023-02-24","2026-03-27","https://github.com/OpenConceptLab/ocl_issues/issues/1493","See #1467 for details  Additional Tickets:  #1598  #1527  #1495  #1577  #1584 "
"1508","Setup limits on bulk imports","OPEN","(none)","enhancement, discussion-needed, api2, performance","rkorytkowski, paynejd, snyaggarwal","2023-03-09","2023-03-10","https://github.com/OpenConceptLab/ocl_issues/issues/1508","We need to agree on some limits e.g. per user on how much data can be imported in a given period of time and enforce them. It is to prevent from putting too much load on the system.  We could enable some users to go above the limits.  @paynejd @snyaggarwal @jamlung-ri "
"1522","Deep linking","OPEN","(none)","Design, V3","snyaggarwal, paulsonder","2023-03-21","2023-07-18","https://github.com/OpenConceptLab/ocl_issues/issues/1522","**Goals** - URL in the web browser should generally update to current view throughout the TermBrowser - Copy/pasting the above URL should load the same view, even if user starts a new session, starts not signed in, etc. - Where the above isn't easy to accomplish, make it easy get a copy of a URL in the TermBrowser - Links where users may want to right click to copy a URL, the TermBrowser UI components should make this easy -- there are places now where this doesn't work - Ability to reference a specific synonym, attribute, mapping, etc. of a concept - While we're doing this, where a user may want to select and copy text (e.g. concept ID, name, mapping code/name/source), the TermBrowser UI components should make this easy -- there are some places now where this isn't easy because selecting the text results in some type of action  Do the above prioritizing key resources, including: - concept/mapping and concept/mapping within a source/collection version (specifically NOT prioritizing concept/mapping version) - source/collection and source/collection version - org - user  cc @bmamlin "
